"userId","roomId","studyId","gMO","discussionId","reciept","curr","message","round"
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",126,"2-0","l","2014-07-24 12:36:10","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":126}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",127,"2-0","l","2014-07-24 12:36:12","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-3""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":127}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",128,"2-0","l","2014-07-24 12:36:13","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":128}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",129,"2-0","l","2014-07-24 12:36:14","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-5""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":129}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",130,"2-0","l","2014-07-24 12:36:15","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-6""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":130}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",131,"2-0","l","2014-07-24 12:36:16","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""7-7""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":131}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",132,"2-0","l","2014-07-24 12:36:17","{""type"":""link"",""userId"":""user@Hu0AYDBrqR"",""comment"":{""userId"":""user@Hu0AYDBrqR"",""text"":""0-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user D"",""userColor"":""#9999FF"",""current-population"":4,""gMO"":132}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",133,"2-0","l","2014-07-24 12:36:17","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":133}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",134,"2-0","l","2014-07-24 12:36:20","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-3""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":134}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",135,"2-0","l","2014-07-24 12:36:21","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":135}",1
